,track_id,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,mood
522,6iaSML1PIYq936g62BDtBq,Robbery,Juice WRLD,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,spotify:track:6iaSML1PIYq936g62BDtBq,240051,4,sad
523,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,spotify:track:7m9OqQk4RVRkw9JJdeAw96,119133,4,sad
524,4XvcHTUfIlWfyJTRG0aqlo,2055,Sleepy Hallow,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,123987,4,sad
525,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,208212,3,sad
526,52okn5MNA47tk87PeZJLEL,Let You Down,NF,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,spotify:track:52okn5MNA47tk87PeZJLEL,212120,4,sad
527,4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Drake,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,220488,4,sad
528,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,198371,3,sad
529,4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,Lil Peep,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,196400,4,sad
530,2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,221747,4,sad
531,3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,Juice WRLD,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,spotify:track:3oDkdAySo1VQQG0ptV7uwa,175755,4,sad
